date,user,course,weighted_lost,all_tasks_assignment_count,all_tasks_missing_points,all_tasks_total_points,practice_assignment_count,practice_missing_points,practice_total_points,overall_average
2026-06-02,171489,Introduction to Networks CISCO B,78.5,3,34.0,39.0,0,0.0,35.0,54.9
2026-06-02,171489,Marketing A,23.1,1,10.0,55.0,2,10.0,15.0,54.9
2026-06-02,171489,Personal Finance,36.6,6,70.0,195.0,1,15.0,35.0,54.9
2026-06-03,171489,AP World History B,80.8,3,240.0,305.0,2,20.0,20.0,63.6
2026-06-03,171489,Calculus w Applic B,100.0,5,78.0,78.0,6,60.0,60.0,63.6
2026-06-03,171489,Hon English 11B,62.6,7,92.0,140.0,2,22.0,62.0,63.6
2026-06-03,171489,Introduction to Networks CISCO B,78.5,3,34.0,39.0,0,0.0,35.0,63.6
2026-06-03,171489,Marketing A,23.1,1,10.0,55.0,2,10.0,15.0,63.6
2026-06-03,171489,Personal Finance,36.6,6,70.0,195.0,1,15.0,35.0,63.6
2026-06-04,171489,AP World History B,44.3,2,40.0,105.0,2,20.0,20.0,57.5
2026-06-04,171489,Calculus w Applic B,100.0,5,78.0,78.0,6,60.0,60.0,57.5
2026-06-04,171489,Hon English 11B,62.6,7,92.0,140.0,2,22.0,62.0,57.5
2026-06-04,171489,Introduction to Networks CISCO B,78.5,3,34.0,39.0,0,0.0,35.0,57.5
2026-06-04,171489,Marketing A,23.1,1,10.0,55.0,2,10.0,15.0,57.5
2026-06-04,171489,Personal Finance,36.6,6,70.0,195.0,1,15.0,35.0,57.5
2026-06-05,171489,AP World History B,10.0,0,0.0,65.0,2,20.0,20.0,47.7
2026-06-05,171489,Calculus w Applic B,100.0,3,56.0,56.0,6,60.0,60.0,47.7
2026-06-05,171489,Hon English 11B,39.5,3,32.0,80.0,2,22.0,62.0,47.7
2026-06-05,171489,Introduction to Networks CISCO B,78.5,3,34.0,39.0,0,0.0,35.0,47.7
2026-06-05,171489,Marketing A,23.1,1,10.0,55.0,2,10.0,15.0,47.7
2026-06-05,171489,Personal Finance,35.0,3,45.0,135.0,1,15.0,30.0,47.7
2026-06-08,171489,AP World History B,10.0,0,0.0,65.0,2,20.0,20.0,47.7
2026-06-08,171489,Calculus w Applic B,100.0,3,56.0,56.0,6,60.0,60.0,47.7
2026-06-08,171489,Hon English 11B,39.5,3,32.0,80.0,2,22.0,62.0,47.7
2026-06-08,171489,Introduction to Networks CISCO B,78.5,3,34.0,39.0,0,0.0,35.0,47.7
2026-06-08,171489,Marketing A,23.1,1,10.0,55.0,2,10.0,15.0,47.7
2026-06-08,171489,Personal Finance,35.0,3,45.0,135.0,1,15.0,30.0,47.7
2026-06-10,171489,AP World History B,10.0,0,0.0,65.0,2,20.0,20.0,47.7
2026-06-10,171489,Calculus w Applic B,100.0,3,56.0,56.0,6,60.0,60.0,47.7
2026-06-10,171489,Hon English 11B,39.5,3,32.0,80.0,2,22.0,62.0,47.7
2026-06-10,171489,Introduction to Networks CISCO B,78.5,3,34.0,39.0,0,0.0,35.0,47.7
2026-06-10,171489,Marketing A,23.1,1,10.0,55.0,2,10.0,15.0,47.7
2026-06-10,171489,Personal Finance,35.0,3,45.0,135.0,1,15.0,30.0,47.7
