date,user,course,weighted_lost,all_tasks_assignment_count,all_tasks_missing_points,all_tasks_total_points,practice_assignment_count,practice_missing_points,practice_total_points,overall_average
2026-05-02,171489,AP World History B,65.4,2,40.0,65.0,2,20.0,20.0,55.8
2026-05-02,171489,Calculus w Applic B,100.0,1,20.0,20.0,3,30.0,30.0,55.8
2026-05-02,171489,Hon English 11B,50.0,2,20.0,40.0,2,20.0,40.0,55.8
2026-05-02,171489,Introduction to Networks CISCO B,90.0,2,27.0,27.0,0,0.0,0.0,55.8
2026-05-02,171489,Marketing A,0.0,0,0.0,0.0,0,0.0,0.0,55.8
2026-05-02,171489,Personal Finance,29.5,1,15.0,55.0,1,15.0,30.0,55.8
2026-05-05,171489,AP World History B,65.4,2,40.0,65.0,2,20.0,20.0,56.6
2026-05-05,171489,Calculus w Applic B,100.0,1,20.0,20.0,6,60.0,60.0,56.6
2026-05-05,171489,Hon English 11B,50.0,2,20.0,40.0,2,20.0,40.0,56.6
2026-05-05,171489,Introduction to Networks CISCO B,92.0,3,34.0,34.0,1,5.0,25.0,56.6
2026-05-05,171489,Marketing A,10.0,0,0.0,20.0,1,5.0,5.0,56.6
2026-05-05,171489,Personal Finance,21.9,1,15.0,80.0,1,15.0,30.0,56.6
2026-05-14,171489,AP World History B,65.4,2,40.0,65.0,2,20.0,20.0,51.4
2026-05-14,171489,Calculus w Applic B,100.0,2,36.0,36.0,6,60.0,60.0,51.4
2026-05-14,171489,Hon English 11B,26.5,1,10.0,40.0,2,20.0,50.0,51.4
2026-05-14,171489,Introduction to Networks CISCO B,92.0,3,34.0,34.0,1,5.0,25.0,51.4
2026-05-14,171489,Marketing A,6.7,0,0.0,55.0,2,10.0,15.0,51.4
2026-05-14,171489,Personal Finance,17.9,1,15.0,105.0,1,15.0,30.0,51.4
2026-05-18,171489,AP World History B,10.0,0,0.0,65.0,2,20.0,20.0,45.5
2026-05-18,171489,Calculus w Applic B,100.0,3,56.0,56.0,6,60.0,60.0,45.5
2026-05-18,171489,Hon English 11B,26.5,1,10.0,40.0,2,20.0,50.0,45.5
2026-05-18,171489,Introduction to Networks CISCO B,78.5,3,34.0,39.0,0,0.0,35.0,45.5
2026-05-18,171489,Marketing A,23.1,1,10.0,55.0,2,10.0,15.0,45.5
2026-05-18,171489,Personal Finance,35.0,3,45.0,135.0,1,15.0,30.0,45.5
2026-05-19,171489,AP World History B,10.0,0,0.0,65.0,2,20.0,20.0,45.0
2026-05-19,171489,Calculus w Applic B,100.0,3,56.0,56.0,6,60.0,60.0,45.0
2026-05-19,171489,Hon English 11B,26.5,1,10.0,40.0,2,20.0,50.0,45.0
2026-05-19,171489,Introduction to Networks CISCO B,78.5,3,34.0,39.0,0,0.0,35.0,45.0
2026-05-19,171489,Marketing A,23.1,1,10.0,55.0,2,10.0,15.0,45.0
2026-05-19,171489,Personal Finance,32.0,3,45.0,150.0,1,15.0,30.0,45.0
2026-05-20,171489,AP World History B,10.0,0,0.0,65.0,2,20.0,20.0,45.0
2026-05-20,171489,Calculus w Applic B,100.0,3,56.0,56.0,6,60.0,60.0,45.0
2026-05-20,171489,Hon English 11B,26.5,1,10.0,40.0,2,20.0,50.0,45.0
2026-05-20,171489,Introduction to Networks CISCO B,78.5,3,34.0,39.0,0,0.0,35.0,45.0
2026-05-20,171489,Marketing A,23.1,1,10.0,55.0,2,10.0,15.0,45.0
2026-05-20,171489,Personal Finance,32.0,3,45.0,150.0,1,15.0,30.0,45.0
2026-05-21,171489,AP World History B,31.2,1,20.0,85.0,2,20.0,20.0,48.2
2026-05-21,171489,Calculus w Applic B,100.0,3,56.0,56.0,6,60.0,60.0,48.2
2026-05-21,171489,Hon English 11B,24.5,1,10.0,40.0,1,10.0,50.0,48.2
2026-05-21,171489,Introduction to Networks CISCO B,78.5,3,34.0,39.0,0,0.0,35.0,48.2
2026-05-21,171489,Marketing A,23.1,1,10.0,55.0,2,10.0,15.0,48.2
2026-05-21,171489,Personal Finance,32.0,3,45.0,150.0,1,15.0,30.0,48.2
2026-05-22,171489,AP World History B,31.2,1,20.0,85.0,2,20.0,20.0,48.8
2026-05-22,171489,Calculus w Applic B,100.0,3,56.0,56.0,6,60.0,60.0,48.8
2026-05-22,171489,Hon English 11B,24.5,1,10.0,40.0,1,10.0,50.0,48.8
2026-05-22,171489,Introduction to Networks CISCO B,78.5,3,34.0,39.0,0,0.0,35.0,48.8
2026-05-22,171489,Marketing A,23.1,1,10.0,55.0,2,10.0,15.0,48.8
2026-05-22,171489,Personal Finance,35.2,4,55.0,160.0,1,15.0,35.0,48.8
2026-05-27,171489,AP World History B,31.2,1,20.0,85.0,2,20.0,20.0,52.9
2026-05-27,171489,Calculus w Applic B,100.0,5,78.0,78.0,6,60.0,60.0,52.9
2026-05-27,171489,Hon English 11B,52.4,5,57.0,105.0,2,22.0,62.0,52.9
2026-05-27,171489,Introduction to Networks CISCO B,78.5,3,34.0,39.0,0,0.0,35.0,52.9
2026-05-27,171489,Marketing A,23.1,1,10.0,55.0,2,10.0,15.0,52.9
2026-05-27,171489,Personal Finance,32.4,4,50.0,160.0,1,15.0,35.0,52.9
2026-05-28,171489,AP World History B,31.2,1,20.0,85.0,2,20.0,20.0,52.9
2026-05-28,171489,Calculus w Applic B,100.0,5,78.0,78.0,6,60.0,60.0,52.9
2026-05-28,171489,Hon English 11B,52.4,5,57.0,105.0,2,22.0,62.0,52.9
2026-05-28,171489,Introduction to Networks CISCO B,78.5,3,34.0,39.0,0,0.0,35.0,52.9
2026-05-28,171489,Marketing A,23.1,1,10.0,55.0,2,10.0,15.0,52.9
2026-05-28,171489,Personal Finance,32.4,4,50.0,160.0,1,15.0,35.0,52.9
2026-05-29,171489,AP World History B,31.2,1,20.0,85.0,2,20.0,20.0,54.2
2026-05-29,171489,Calculus w Applic B,100.0,5,78.0,78.0,6,60.0,60.0,54.2
2026-05-29,171489,Hon English 11B,60.3,6,82.0,130.0,2,22.0,62.0,54.2
2026-05-29,171489,Introduction to Networks CISCO B,78.5,3,34.0,39.0,0,0.0,35.0,54.2
2026-05-29,171489,Marketing A,23.1,1,10.0,55.0,2,10.0,15.0,54.2
2026-05-29,171489,Personal Finance,32.4,4,50.0,160.0,1,15.0,35.0,54.2
2026-06-01,171489,AP World History B,31.2,1,20.0,85.0,2,20.0,20.0,54.2
2026-06-01,171489,Calculus w Applic B,100.0,5,78.0,78.0,6,60.0,60.0,54.2
2026-06-01,171489,Hon English 11B,60.3,6,82.0,130.0,2,22.0,62.0,54.2
2026-06-01,171489,Introduction to Networks CISCO B,78.5,3,34.0,39.0,0,0.0,35.0,54.2
2026-06-01,171489,Marketing A,23.1,1,10.0,55.0,2,10.0,15.0,54.2
2026-06-01,171489,Personal Finance,32.4,4,50.0,160.0,1,15.0,35.0,54.2
2026-06-02,171489,AP World History B,31.2,1,20.0,85.0,2,20.0,20.0,54.9
2026-06-02,171489,Calculus w Applic B,100.0,5,78.0,78.0,6,60.0,60.0,54.9
2026-06-02,171489,Hon English 11B,60.3,6,82.0,130.0,2,22.0,62.0,54.9
